title,print_issn,e_issn,field,ajg_2024
Accounting Review,0001-4826,1558-7967,ACCOUNT,4*
"Accounting, Organizations and Society",0361-3682,1873-6289,ACCOUNT,4*
Journal of Accounting and Economics,0165-4101,1879-1980,ACCOUNT,4*
Journal of Accounting Research,0021-8456,1475-679X,ACCOUNT,4*
Contemporary Accounting Research,0823-9150,1911-3846,ACCOUNT,4
Review of Accounting Studies,1380-6653,1573-7136,ACCOUNT,4
Abacus,0001-3072,1467-6281,ACCOUNT,3
Accounting and Business Research,0001-4788,2159-4260,ACCOUNT,3
Accounting Forum,0155-9982,1467-6303,ACCOUNT,3
Accounting Horizons,0888-7993,1558-7975,ACCOUNT,3
"Accounting, Auditing and Accountability Journal",0951-3574,1758-4205,ACCOUNT,3
Auditing,0278-0380,1558-7991,ACCOUNT,3
Behavioral Research in Accounting,1050-4753,1558-8009,ACCOUNT,3
British Accounting Review,0890-8389,1095-8347,ACCOUNT,3
British Tax Review,0007-1870,2754-1525,ACCOUNT,3
Critical Perspectives on Accounting,1045-2354,1095-9955,ACCOUNT,3
European Accounting Review,0963-8180,1468-4497,ACCOUNT,3
Financial Accountability and Management,0267-4424,1468-0408,ACCOUNT,3
Foundations and Trends in Accounting,1554-0642,1554-0650,ACCOUNT,3
International Journal of Accounting,1094-4060,2213-3933,ACCOUNT,3
Journal of Accounting and Public Policy,0278-4254,1873-2070,ACCOUNT,3
Journal of Accounting Literature,0737-4607,2452-1469,ACCOUNT,3
"Journal of Accounting, Auditing and Finance",0148-558X,2160-4061,ACCOUNT,3
Journal of Business Finance and Accounting,0306-686X,1468-5957,ACCOUNT,3
Journal of Financial Reporting,2380-2154,2380-2146,ACCOUNT,3
"Journal of International Accounting, Auditing and Taxation",1061-9518,1879-1603,ACCOUNT,3
Journal of the American Taxation Association,0198-9073,1558-8017,ACCOUNT,3
Management Accounting Research,1044-5005,1096-1224,ACCOUNT,3
Accounting and Finance,0810-5391,1467-629X,ACCOUNT,2
Accounting and the Public Interest,1530-9320,1530-9320,ACCOUNT,2
Accounting in Europe,1744-9480,1744-9499,ACCOUNT,2
Accounting Research Journal,1030-9616,1839-5465,ACCOUNT,2
"Accounting, Economics and Law: A Convivium",,2152-2820,ACCOUNT,2
Advances in Accounting,0882-6110,1046-5715,ACCOUNT,2
Advances in Accounting Behavioral Research,1475-1488,,ACCOUNT,2
Advances in Management Accounting,1474-7871,,ACCOUNT,2
Advances in Taxation,1058-7497,,ACCOUNT,2
Asia-Pacific Journal of Accounting and Economics,1608-1625,2164-2257,ACCOUNT,2
Asian Review of Accounting,1321-7348,1758-8863,ACCOUNT,2
Australian Accounting Review,1035-6908,1835-2561,ACCOUNT,2
China Journal of Accounting Research,1755-3091,2214-1421,ACCOUNT,2
Current Issues in Auditing,1936-1270,,ACCOUNT,2
