name,acronym,rank,source
National Conference of the American Association for Artificial Intelligence,AAAI,A*,ICORE2026
Association for Computational Linguistics,ACL,A*,ICORE2026
ACM Multimedia,ACMMM,A*,ICORE2026
Automated Software Engineering Conference,ASE,A*,ICORE2026
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,ICORE2026
Computer Aided Verification,CAV,A*,ICORE2026
ACM Conference on Computer and Communications Security,CCS,A*,ICORE2026
International Conference on Human Factors in Computing Systems,CHI,A*,ICORE2026
Conference on Learning Theory,COLT,A*,ICORE2026
Advances in Cryptology,CRYPTO,A*,ICORE2026
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,ICORE2026
Design Automation Conf,DAC,A*,ICORE2026
ACM Conference on Economics and Computation,EC,A*,ICORE2026
European Conference on Computer Vision,ECCV,A*,ICORE2026
Empirical Methods in Natural Language Processing,EMNLP,A*,ICORE2026
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,ICORE2026
IEEE Symposium on Foundations of Computer Science,FOCS,A*,ICORE2026
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,ICORE2026
International Symposium on High Performance Computer Architecture,HPCA,A*,ICORE2026
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A*,ICORE2026
International Colloquium on Automata Languages and Programming,ICALP,A*,ICORE2026
International Conference on Automated Planning and Scheduling,ICAPS,A*,ICORE2026
IEEE International Conference on Computer Vision,ICCV,A*,ICORE2026
International Conference on Data Engineering,ICDE,A*,ICORE2026
IEEE International Conference on Data Mining,ICDM,A*,ICORE2026
International Conference on Learning Representations,ICLR,A*,ICORE2026
International Conference on Machine Learning,ICML,A*,ICORE2026
IEEE International Conference on Robotics and Automation,ICRA,A*,ICORE2026
International Conference on Software Engineering,ICSE,A*,ICORE2026
International Joint Conference on Artificial Intelligence,IJCAI,A*,ICORE2026
IEEE International Conference on Computer Communications,INFOCOM,A*,ICORE2026
ACM International Symposium on Computer Architecture,ISCA,A*,ICORE2026
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,ICORE2026
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,ICORE2026
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,ICORE2026
IEEE Symposium on Logic in Computer Science,LICS,A*,ICORE2026
International Symposium on Microarchitecture,MICRO,A*,ICORE2026
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,ICORE2026
Usenix Network and Distributed System Security Symposium,NDSS,A*,ICORE2026
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,ICORE2026
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*,ICORE2026
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,ICORE2026
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,ICORE2026
ACM Symposium on Principles of Distributed Computing,PODC,A*,ICORE2026
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,ICORE2026
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,ICORE2026
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,ICORE2026
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,ICORE2026
SIGGRAPH Asia,SiggraphA,A*,ICORE2026
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,ICORE2026
Measurement and Modeling of Computer Systems,SIGMETRICS,A*,ICORE2026
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,ICORE2026
International Symposium on Computational Geometry,SoCG,A*,ICORE2026
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,ICORE2026
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,ICORE2026
IEEE Symposium on Security and Privacy,SP,A*,ICORE2026
ACM Symposium on Theory of Computing,STOC,A*,ICORE2026
ACM Symposium on User Interface Software and Technology,UIST,A*,ICORE2026
Usenix Security Symposium,USENIX-Security,A*,ICORE2026
International Conference on Very Large Databases,VLDB,A*,ICORE2026
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*,ICORE2026
International World Wide Web Conference,WWW,A*,ICORE2026
Parallel Problem Solving from Nature,PPSN,A,ICORE2026
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A,ICORE2026
IEEE International Requirements Engineering Conference,RE,A,ICORE2026
ACM International Conference on Recommender Systems,RecSys,A,ICORE2026
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,ICORE2026
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A,ICORE2026
International Conference on Theory and Applications of Satisfiability Testing,SAT,A,ICORE2026
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,ICORE2026
SIAM International Conference on Data Mining,SDM,A,ICORE2026
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A,ICORE2026
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,ICORE2026
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,ICORE2026
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,ICORE2026
Conference in Uncertainty in Artificial Intelligence,UAI,A,ICORE2026
Usenix Annual Technical Conference,USENIX,A,ICORE2026
IEEE Workshop on Applications of Computer Vision,WACV,A,ICORE2026
ACM International Conference on Web Search and Data Mining,WSDM,A,ICORE2026
IEEE International Conference on Multimedia and Expo,ICME,A,ICORE2026
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,ICORE2026
ACM International Conference on Supercomputing,ICS,A,ICORE2026
International Conference on Software Architecture (was previously WICSA),ICSA,A,ICORE2026
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,ICORE2026
International Conference on Service Oriented Computing,ICSOC,A,ICORE2026
"International Conference on Software Testing, Verification and Validation",ICST,A,ICORE2026
International Conference on Web and Social Media,ICWSM,A,ICORE2026
International Joint Conference on Automated Reasoning,IJCAR,A,ICORE2026
Internet Measurement Conference,IMC,A,ICORE2026
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A,ICORE2026
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A,ICORE2026
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,ICORE2026
International Symposium on Software Reliability Engineering,ISSRE,A,ICORE2026
International Symposium on Software Testing and Analysis,ISSTA,A,ICORE2026
International Semantic Web Conference,ISWC,A,ICORE2026
International Conference on Intelligent User Interfaces,IUI,A,ICORE2026
International Conference on Learning Analytics and Knowledge,LAK,A,ICORE2026
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A,ICORE2026
ACM/IFIP/USENIX International Middleware Conference,Middleware,A,ICORE2026
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,ICORE2026
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,ICORE2026
IEEE International Working Conference on Mining Software Repositories,MSR,A,ICORE2026
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,ICORE2026
North American Association for Computational Linguistics,NAACL,A,ICORE2026
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,ICORE2026
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A,ICORE2026
IEEE Conference on Computational Complexity,CCC,A,ICORE2026
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,ICORE2026
IEEE/ACM International Symposium on Low Power Electronics and Design,ISLPED,A,ICORE2026
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A,ICORE2026
IEEE International Conference on Web Services,ICWS,A,ICORE2026
Intelligent Systems in Molecular Biology,ISMB,A,ICORE2026
ACM Multimedia Systems Conference,MMSys,A,ICORE2026
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,ICORE2026
"Design, Automation and Test in Europe Conference",DATE,A,ICORE2026
Real Time Systems Symposium,RTSS,A,ICORE2026
IEEE International Test Conference,ITC,A,ICORE2026
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,ICORE2026
European Symposium on Algorithms,ESA,A,ICORE2026
International Symposium on Theoretical Aspects of Computer Science,STACS,A,ICORE2026
Graph Drawing,GD,A,ICORE2026
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A,ICORE2026
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,A,ICORE2026
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,A,ICORE2026
IEEE Visualization,IEEE VIS,A,ICORE2026
Eurosys Conference,EuroSys,A,ICORE2026
Symposium On Usable Privacy and Security,SOUPS,A,ICORE2026
Workshop on Algorithm Engineering and Experiments,ALENEX,A,ICORE2026
Innovations in Theoretical Computer Science,ITCS,A,ICORE2026
Annual Computer Security Applications Conference,ACSAC,A,ICORE2026
International Conference on Artificial Intelligence in Education,AIED,A,ICORE2026
International Conference on Artificial Intelligence and Statistics,AISTATS,A,ICORE2026
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,ICORE2026
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,ICORE2026
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A,ICORE2026
British Machine Vision Conference,BMVC,A,ICORE2026
International Conference in Business Process Management,BPM,A,ICORE2026
International Conference on Automated Deduction,CADE,A,ICORE2026
International Conference on Advanced Information Systems Engineering,CaiSE,A,ICORE2026
International Symposium on Code Generation and Optimization,CGO,A,ICORE2026
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A,ICORE2026
Conference on Innovative Data Systems Research,CIDR,A,ICORE2026
ACM International Conference on Information and Knowledge Management,CIKM,A,ICORE2026
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,ICORE2026
International Conference on Principles and Practice of Constraint Programming,CP,A,ICORE2026
ACM Conference on Computer Supported Cooperative Work,CSCW,A,ICORE2026
Designing Interactive Systems,DIS,A,ICORE2026
International Symposium on Distributed Computing (was WDAG),DISC,A,ICORE2026
European Association for Computational Linguistics,EACL,A,ICORE2026
International Conference on Evaluation and Assessment in Software Engineering,EASE,A,ICORE2026
European Conference on Artificial Intelligence,ECAI,A,ICORE2026
European Conference on Information Retrieval,ECIR,A,ICORE2026
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,ICORE2026
European Conference on Object-Oriented Programming,ECOOP,A,ICORE2026
International Conference on Conceptual Modelling,ER,A,ICORE2026
